blocker_id,source,capability,classification,owner,reproduction,repair,tests,deployment,observation,rollback,evidence,disposition
CL-16,claude,L4,"all 99 durable predictions are unfalsifiable",claude,"claim_is_falsifiable over the live store","reported, not worked around - scored INSUFFICIENT_EVIDENCE with reason","test_an_unfalsifiable_claim_is_reported_not_scored_as_a_success",PR#975,pending,revert,"99/99 'observation contradicts claim within horizon'",OPEN_UPSTREAM_PRODUCER
CL-17,claude,MVL,"0 of 140 Sentinel reviews carry any retrieval/evidence field",claude,"measured the producer-plane store","none this campaign","n/a",n/a,n/a,n/a,"retrieval bar is >=95%; measured 0.0%. Darwin coverage 136/136 = 100%.",OPEN_MEASURED
CL-18,GR-004/GG-002,live-site,"Industry Momentum age reads generated_at; producer emits captured_at",claude,"industry_momentum_latest.json top-level keys: captured_at present, generated_at ABSENT","read captured_at with generated_at as fallback","test_oscillator_board_truth_20260912::test_industry_age_reads_the_timestamp_the_producer_actually_emits (failed pre-fix)",PR#975,pending,revert,"PR #974 reported this and was closed unmerged",FIXED_LOCAL
CL-19,GR-006,live-site,"sector_breadth_20dma state read from the SAME rows[0].state as sector_momentum_rs",claude,"sector_momentum_latest.json rows[0] has one state field and no breadth_state","read breadth's own field; absent stays absent rather than borrowing the RS state","test_breadth_does_not_borrow_the_rs_oscillators_state + a test that a real breadth_state IS used",PR#975,pending,revert,"PR #973 fixed the reading field only",FIXED_LOCAL
CL-20,GR-007,live-site,"sector_comovement published a foreign producer's timestamp beside a null reading",claude,"config/oscillator_registry.json declares producer=material_change_detector.py store=material_changes; the board wires it to _read_sector_momentum","publish no age for a reading this oscillator has no reader for","corrected tests/test_oscillator_board_reads.py, whose premise (the timestamp is its own producer's) the registry falsifies",PR#975,pending,revert,"registry vs reader disagreement",FIXED_LOCAL_AND_EXTENDED
CL-21,claude,CI/governance,"editing run_cio_hardening_ci.py breaks the SOP control-surface digest",claude,"scripts/run_cio_hardening_ci.py is 1 of 31 control-surface manifest paths; 4 evidence files bind the digest","rebound control_surface_digest in the 4 evidence files - the same one-line change every recent commit on this file made","test_sop_evidence_integrity green; digest recomputed and compared",PR#975,pending,"restore prior digest","caught by local acceptance only because CL-07+CL-13 made CIO hardening run locally",FIXED_LOCAL
CL-22,brief,governance,"financial_action may be hardcoded/unread rather than enforced",claude,"counted across scripts/: 364 write sites vs 8 read sites","NOT CHANGED - deliberately","n/a",n/a,n/a,n/a,"PARTIALLY TRUE and now precise. It IS enforced at three genuine guards: cio_specialist_artifact.py:116 (refuses when not False), maturity_control/schema.py:171 (refuses when True), convergence_lib.py:69 (all authority keys must be False), plus three violation counters. But nearly every one of the 364 writes is a LITERAL or a module constant - nothing COMPUTES the flag from behaviour, so a path that did perform a financial action would still assert False. Deriving it from behaviour is an architectural change, and financial-guardrail semantics are explicitly outside this campaign's grant window.",DOCUMENTED_NOT_CHANGED
CL-23,brief,governance,"dry_run may still spend model budget or write durable turns",claude,"read scripts/lib/cortex_shadow_pipeline.py - the L3/L4 shadow path","none needed on this path","n/a",n/a,n/a,n/a,"On the L3/L4 path the claim does NOT hold: dry_run guards every durable write (lines 166, 197, 218) and the model call lives in the wake's _maybe_judge, not here, so a dry run spends nothing. Verified for THIS path only; not a global result.",FALSIFIED_FOR_THIS_PATH
CL-24,brief,comms,"one-poller-per-bot-token was deferred",claude,"ps over the live host at 2026-09-12T00:40Z","none needed","n/a",n/a,n/a,n/a,"Exactly ONE poller process (pid 8953) runs against the bot token, with cwd = the served release. The residual risk is not currently realised.",VERIFIED_NOT_CURRENTLY_AT_RISK
CL-25,GG-022,coordination,"CLAUDE_STATE.candidate_sha drifted behind HEAD",claude,"validator compared state file to PR head","state file now written with git rev-parse HEAD on every publish","verified: HEAD == CLAUDE_STATE.candidate_sha == PR975 headRefOid == d40316a2c",n/a,n/a,n/a,"observed at 2026-09-12T01:48Z, all three agree",ACCEPTED_AND_RESOLVED
CL-26,GG-025,L2/L5,"hermetic repairs must not be reported as closing GR-014/015 on served",claude,"n/a - a labelling discipline, not a defect","none needed","n/a",n/a,n/a,n/a,"AGREED and already the practice: both are labelled INTEGRATED / FIXED-UNDEPLOYED throughout the scorecard, AS-IS and ledger, never FIXED-on-served. L2 stays BLOCKED and L5 stays ABSENT until observed on the served epoch.",ACCEPTED_NO_CHANGE_NEEDED
CL-27,GG-026,L3,"deadline precedes the DeepSeek off-peak window",claude,"independently measured hour-by-hour via evaluate_offpeak_eligibility","chose the validator's first option: accept L3 NOT_ACCEPTED for the window, and merge before 14:00Z so the first authoring window of the day writes correct records","n/a",n/a,n/a,n/a,"off-peak opens 14:00Z; deadline 12:31:44Z; gap 88 minutes",ACCEPTED_CONVERGED
CL-28,GG-027,integration,"do not assume cio-hardening green; the prior run failed ci_self_guards",claude,"n/a","waiting on COMPLETED SUCCESS on the exact head before merge","6 of 7 checks green on d40316a2c; cio-hardening in progress",n/a,n/a,n/a,"agreed - no merge until the exact head is green",ACCEPTED_IN_PROGRESS
CL-29,brief,L3-operator,"the first operator Walmart question returned operational counters and mangled READ_ONLY_ADVISORY",claude,"read commit b8ddeea89 (#971) and RAN its regression suite rather than trusting the message","already fixed on main before this campaign","tests/test_cio_answer_quality.py - 10 tests green, covering BOTH reported defects: test_composer_never_renders_pipeline_counters and test_authority_footer_survives_plain_text (markdown eats underscores)","on main at eb648174a; served","n/a","n/a","the fix predates this campaign; verified not assumed",VERIFIED_ALREADY_CLOSED
CL-30,github-ci,integration,"check_state_root_split.py defines StateRootSplitCheck@v1 with no caller",claude,"CI dark-contract guard on head d40316a2c: NEW (unexplained) = 1","declared NO_CONSUMER_REASON naming the real consumer (the promote gate) and why it cannot be wired yet: gating promote on a pre-existing 164-file divergence would block every deploy","check_dark_contracts.py --fail-on-new exits 0; NEW (unexplained) = 0",pending,n/a,revert,"the guard is correct - a versioned contract with no consumer is dark",FIXED_LOCAL
CL-31,claude,CI/process,"the same set -e pattern hid this locally: a cio-hardening failure skipped dark-contracts and line-endings",claude,"local acceptance reported only ['overnight_g3_docs_index','docs_index_drift'] while CI failed on dark contracts - the later gates never ran","collect failures across all four CIO gates and report them together instead of exiting at the first","all four gates run and exit 0 independently",pending,n/a,revert,"second instance of the defect fixed at the top of this file - one early failure silently cancelling later coverage. GitHub runs these as SEPARATE steps, so local acceptance could pass the ones it reached and still fail CI.",FIXED_LOCAL
